id_familia,bairro,regiao,localizacao,especie,calcamento,mat_piso,mat_parede
FAM00039,Zona Rural Norte,Rural,Rural,Particular Permanente,Sem Calçamento,Terra,Madeira Aparelhada
FAM00040,São Luís,Urbana,Urbana,Particular Permanente,Calçamento Parcial,Cerâmica/Lajota/Pedra,Alvenaria com Revestimento
FAM00041,Dist. Industrial Norte,Industrial,Urbana,Particular Permanente,Calçamento Parcial,Carpete,Alvenaria com Revestimento
FAM00042,Centro,Urbana,Urbana,Particular Permanente,Calçamento Parcial,Cerâmica/Lajota/Pedra,Alvenaria com Revestimento
FAM00043,Tindiquera,Urbana,Urbana,Particular Permanente,Calçamento Total,Cerâmica/Lajota/Pedra,Alvenaria com Revestimento
FAM00044,Iguaçu,Urbana,Urbana,Particular Permanente,Calçamento Total,Cerâmica/Lajota/Pedra,Alvenaria com Revestimento
FAM00045,Centro,Urbana,Urbana,Particular Permanente,Sem Calçamento,Madeira Aproveitada,Alvenaria sem Revestimento
FAM00046,Tindiquera,Urbana,Urbana,Particular Permanente,Calçamento Parcial,Cerâmica/Lajota/Pedra,Madeira Aproveitada
FAM00047,Campina da Barra,Urbana,Urbana,Particular Improvisado,Sem Calçamento,Cimento,Madeira Aparelhada
FAM00048,Iguaçu,Urbana,Rural,Particular Permanente,Calçamento Total,Terra,Alvenaria com Revestimento
FAM00049,Chapada,Urbana,Urbana,Particular Improvisado,Calçamento Total,Madeira Aproveitada,Alvenaria com Revestimento
FAM00050,Fazenda Velha,Urbana,Rural,Particular Improvisado,Sem Calçamento,Cerâmica/Lajota/Pedra,Alvenaria com Revestimento
FAM00051,Fazenda Velha,Urbana,Urbana,Particular Permanente,Calçamento Parcial,Terra,Alvenaria com Revestimento
FAM00052,Tindiquera,Urbana,Urbana,Particular Permanente,Sem Calçamento,Cimento,Alvenaria sem Revestimento
FAM00053,Iguaçu,Urbana,Rural,Particular Permanente,Calçamento Total,Cerâmica/Lajota/Pedra,Alvenaria com Revestimento
FAM00054,Zona Rural Sul,Rural,Rural,Particular Permanente,Calçamento Parcial,Carpete,Madeira Aproveitada
FAM00055,Chapada,Urbana,Urbana,Particular Permanente,Calçamento Parcial,Cerâmica/Lajota/Pedra,Alvenaria com Revestimento
FAM00056,Estação,Urbana,Urbana,Particular Permanente,Calçamento Total,Madeira Aproveitada,Alvenaria com Revestimento
FAM00057,Costeira,Urbana,Urbana,Particular Permanente,Calçamento Total,Cimento,Alvenaria sem Revestimento
FAM00058,Dist. Industrial Norte,Industrial,Urbana,Particular Permanente,Calçamento Parcial,Cerâmica/Lajota/Pedra,Alvenaria com Revestimento
FAM00059,Costeira,Urbana,Urbana,Particular Permanente,Calçamento Total,Cerâmica/Lajota/Pedra,Alvenaria com Revestimento
FAM00060,Fazenda Velha,Urbana,Urbana,Particular Permanente,Calçamento Total,Madeira Aproveitada,Alvenaria com Revestimento
FAM00061,Zona Rural Leste,Rural,Rural,Particular Permanente,Calçamento Parcial,Terra,Madeira Aproveitada
FAM00062,Chapada,Urbana,Urbana,Particular Permanente,Calçamento Total,Cimento,Madeira Aproveitada
FAM00063,São Luís,Urbana,Urbana,Particular Permanente,Calçamento Total,Cerâmica/Lajota/Pedra,Alvenaria sem Revestimento
FAM00064,Dist. Industrial Norte,Industrial,Urbana,Particular Permanente,Calçamento Total,Cerâmica/Lajota/Pedra,Alvenaria com Revestimento
FAM00065,Zona Rural Norte,Rural,Rural,Particular Improvisado,Sem Calçamento,Madeira Aproveitada,Alvenaria com Revestimento
FAM00066,Dist. Industrial Sul,Industrial,Urbana,Particular Permanente,Calçamento Total,Carpete,Alvenaria sem Revestimento
FAM00067,Tindiquera,Urbana,Urbana,Particular Permanente,Calçamento Total,Cerâmica/Lajota/Pedra,Alvenaria com Revestimento
FAM00068,Centro,Urbana,Urbana,Particular Permanente,Sem Calçamento,Madeira Aproveitada,Alvenaria com Revestimento
FAM00069,Iguaçu,Urbana,Urbana,Particular Permanente,Calçamento Total,Cerâmica/Lajota/Pedra,Alvenaria com Revestimento
FAM00070,Iguaçu,Urbana,Urbana,Particular Permanente,Calçamento Total,Cerâmica/Lajota/Pedra,Alvenaria sem Revestimento
FAM00071,Tindiquera,Urbana,Urbana,Particular Permanente,Sem Calçamento,Cerâmica/Lajota/Pedra,Alvenaria com Revestimento
FAM00072,Zona Rural Sul,Rural,Rural,Particular Improvisado,Calçamento Total,Madeira Aproveitada,Madeira Aproveitada
FAM00073,Zona Rural Norte,Rural,Rural,Particular Improvisado,Sem Calçamento,Terra,Alvenaria com Revestimento
FAM00074,Iguaçu,Urbana,Urbana,Particular Permanente,Calçamento Parcial,Cerâmica/Lajota/Pedra,Alvenaria sem Revestimento
FAM00075,Carvalho,Urbana,Rural,Particular Improvisado,Calçamento Parcial,Cimento,Madeira Aparelhada
FAM00076,Thomaz Coelho,Urbana,Urbana,Particular Improvisado,Calçamento Total,Cerâmica/Lajota/Pedra,Alvenaria com Revestimento
FAM00077,Zona Rural Sul,Rural,Rural,Particular Improvisado,Calçamento Total,Madeira Aproveitada,Alvenaria sem Revestimento
FAM00078,Cachoeira,Urbana,Urbana,Particular Permanente,Sem Calçamento,Cerâmica/Lajota/Pedra,Alvenaria com Revestimento
FAM00079,Iguaçu,Urbana,Urbana,Particular Permanente,Calçamento Total,Cimento,Alvenaria com Revestimento
FAM00080,Tindiquera,Urbana,Urbana,Particular Improvisado,Calçamento Parcial,Terra,Alvenaria com Revestimento
FAM00081,São Luís,Urbana,Urbana,Particular Permanente,Sem Calçamento,Cerâmica/Lajota/Pedra,Alvenaria com Revestimento
FAM00082,Tindiquera,Urbana,Urbana,Particular Permanente,Calçamento Total,Cimento,Alvenaria com Revestimento
FAM00083,Estação,Urbana,Urbana,Particular Improvisado,Calçamento Parcial,Terra,Alvenaria sem Revestimento
FAM00084,Zona Rural Sul,Rural,Rural,Particular Permanente,Sem Calçamento,Madeira Aproveitada,Madeira Aproveitada
FAM00085,Thomaz Coelho,Urbana,Urbana,Particular Permanente,Calçamento Parcial,Terra,Alvenaria sem Revestimento
FAM00086,Tindiquera,Urbana,Rural,Particular Permanente,Calçamento Total,Cerâmica/Lajota/Pedra,Alvenaria sem Revestimento
FAM00087,Zona Rural Leste,Rural,Urbana,Particular Permanente,Sem Calçamento,Cimento,Alvenaria com Revestimento
FAM00088,Passaúna,Urbana,Urbana,Particular Improvisado,Calçamento Parcial,Cimento,Alvenaria com Revestimento
FAM00089,Campina da Barra,Urbana,Urbana,Particular Permanente,Calçamento Total,Cerâmica/Lajota/Pedra,Alvenaria com Revestimento
FAM00090,Centro,Urbana,Urbana,Particular Permanente,Calçamento Total,Terra,Alvenaria com Revestimento
FAM00091,Campina da Barra,Urbana,Urbana,Particular Permanente,Sem Calçamento,Cimento,Alvenaria com Revestimento
FAM00092,Chapada,Urbana,Urbana,Particular Permanente,Calçamento Parcial,Cerâmica/Lajota/Pedra,Alvenaria com Revestimento
FAM00093,Dist. Industrial Sul,Industrial,Urbana,Particular Permanente,Calçamento Parcial,Cimento,Alvenaria sem Revestimento
FAM00094,Thomaz Coelho,Urbana,Urbana,Particular Permanente,Calçamento Total,Cimento,Alvenaria com Revestimento
FAM00095,Centro,Urbana,Urbana,Particular Improvisado,Calçamento Parcial,Terra,Taipa/Adobe
FAM00096,Fazenda Velha,Urbana,Urbana,Particular Permanente,Calçamento Total,Madeira Aproveitada,Alvenaria com Revestimento
FAM00097,Zona Rural Leste,Rural,Rural,Particular Permanente,Sem Calçamento,Cimento,Taipa/Adobe
FAM00098,Passaúna,Urbana,Urbana,Particular Permanente,Calçamento Total,Cerâmica/Lajota/Pedra,Alvenaria com Revestimento
FAM00099,Zona Rural Leste,Rural,Rural,Particular Improvisado,Calçamento Parcial,Cerâmica/Lajota/Pedra,Alvenaria com Revestimento
FAM00100,Zona Rural Norte,Rural,Rural,Particular Permanente,Sem Calçamento,Cerâmica/Lajota/Pedra,Alvenaria sem Revestimento
FAM00101,Centro,Urbana,Urbana,Particular Permanente,Calçamento Parcial,Cerâmica/Lajota/Pedra,Alvenaria sem Revestimento
FAM00102,Dist. Industrial Norte,Industrial,Rural,Particular Permanente,Calçamento Total,Cimento,Alvenaria com Revestimento
FAM00103,Carvalho,Urbana,Urbana,Particular Improvisado,Calçamento Total,Madeira Aproveitada,Alvenaria com Revestimento
FAM00104,Passaúna,Urbana,Urbana,Particular Permanente,Calçamento Parcial,Cimento,Alvenaria com Revestimento
FAM00105,Iguaçu,Urbana,Urbana,Particular Permanente,Calçamento Total,Madeira Aproveitada,Alvenaria com Revestimento
FAM00106,Chapada,Urbana,Urbana,Particular Permanente,Calçamento Parcial,Carpete,Alvenaria sem Revestimento
FAM00107,Campina da Barra,Urbana,Urbana,Particular Permanente,Calçamento Total,Madeira Aproveitada,Madeira Aproveitada
FAM00108,Cachoeira,Urbana,Urbana,Particular Permanente,Calçamento Total,Cerâmica/Lajota/Pedra,Alvenaria com Revestimento
FAM00109,Cachoeira,Urbana,Urbana,Particular Permanente,Sem Calçamento,Cimento,Alvenaria sem Revestimento
FAM00110,Zona Rural Leste,Rural,Rural,Particular Permanente,Calçamento Parcial,Terra,Alvenaria com Revestimento
FAM00111,Zona Rural Norte,Rural,Rural,Particular Improvisado,Sem Calçamento,Cimento,Madeira Aproveitada
FAM00112,Tindiquera,Urbana,Urbana,Particular Permanente,Calçamento Total,Cimento,Madeira Aproveitada
FAM00113,Boqueirão,Urbana,Urbana,Particular Permanente,Sem Calçamento,Madeira Aproveitada,Alvenaria com Revestimento
FAM00114,Costeira,Urbana,Urbana,Particular Improvisado,Calçamento Total,Cerâmica/Lajota/Pedra,Alvenaria sem Revestimento
FAM00115,Zona Rural Sul,Rural,Rural,Particular Permanente,Sem Calçamento,Cerâmica/Lajota/Pedra,Madeira Aparelhada
FAM00116,Zona Rural Norte,Rural,Rural,Particular Permanente,Calçamento Parcial,Terra,Madeira Aproveitada
FAM00117,Iguaçu,Urbana,Urbana,Particular Permanente,Calçamento Parcial,Cerâmica/Lajota/Pedra,Alvenaria sem Revestimento
FAM00118,Chapada,Urbana,Urbana,Particular Permanente,Calçamento Parcial,Terra,Alvenaria sem Revestimento
FAM00119,Estação,Urbana,Urbana,Particular Permanente,Calçamento Parcial,Madeira Aproveitada,Alvenaria sem Revestimento
FAM00120,Costeira,Urbana,Urbana,Particular Permanente,Calçamento Parcial,Cerâmica/Lajota/Pedra,Madeira Aparelhada
FAM00121,Dist. Industrial Sul,Industrial,Urbana,Particular Permanente,Calçamento Total,Cerâmica/Lajota/Pedra,Alvenaria com Revestimento
FAM00122,Passaúna,Urbana,Urbana,Particular Permanente,Calçamento Total,Carpete,Alvenaria sem Revestimento
FAM00123,Dist. Industrial Sul,Industrial,Urbana,Particular Permanente,Sem Calçamento,Cerâmica/Lajota/Pedra,Madeira Aproveitada
FAM00124,Passaúna,Urbana,Urbana,Particular Permanente,Calçamento Total,Carpete,Madeira Aparelhada
FAM00125,Centro,Urbana,Urbana,Particular Permanente,Calçamento Parcial,Cerâmica/Lajota/Pedra,Alvenaria com Revestimento
FAM00126,Iguaçu,Urbana,Urbana,Particular Permanente,Calçamento Total,Carpete,Alvenaria com Revestimento
FAM00127,Centro,Urbana,Urbana,Particular Permanente,Calçamento Total,Cimento,Alvenaria com Revestimento
FAM00128,Zona Rural Sul,Rural,Rural,Particular Improvisado,Calçamento Parcial,Cimento,Madeira Aproveitada
FAM00129,Zona Rural Norte,Rural,Rural,Particular Improvisado,Sem Calçamento,Terra,Alvenaria sem Revestimento
FAM00130,Zona Rural Norte,Rural,Urbana,Particular Improvisado,Sem Calçamento,Terra,Alvenaria sem Revestimento
FAM00131,Iguaçu,Urbana,Urbana,Particular Permanente,Sem Calçamento,Madeira Aproveitada,Alvenaria sem Revestimento
FAM00132,Centro,Urbana,Urbana,Particular Improvisado,Calçamento Parcial,Cimento,Alvenaria sem Revestimento
FAM00133,Zona Rural Norte,Rural,Rural,Particular Permanente,Sem Calçamento,Madeira Aproveitada,Alvenaria com Revestimento
FAM00134,Zona Rural Leste,Rural,Rural,Particular Permanente,Sem Calçamento,Madeira Aproveitada,Madeira Aproveitada
FAM00135,Campina da Barra,Urbana,Urbana,Particular Permanente,Calçamento Parcial,Cimento,Alvenaria com Revestimento
FAM00136,Boqueirão,Urbana,Urbana,Particular Permanente,Calçamento Parcial,Cerâmica/Lajota/Pedra,Alvenaria com Revestimento
FAM00137,Centro,Urbana,Urbana,Particular Permanente,Calçamento Total,Cimento,Alvenaria sem Revestimento
FAM00138,Dist. Industrial Sul,Industrial,Urbana,Particular Permanente,Calçamento Total,Cimento,Alvenaria com Revestimento
FAM00139,Dist. Industrial Sul,Industrial,Urbana,Particular Permanente,Calçamento Total,Cimento,Madeira Aproveitada
FAM00140,Campina da Barra,Urbana,Urbana,Particular Permanente,Calçamento Parcial,Cerâmica/Lajota/Pedra,Alvenaria com Revestimento
FAM00141,Boqueirão,Urbana,Urbana,Particular Permanente,Calçamento Total,Cimento,Alvenaria com Revestimento
FAM00142,São Luís,Urbana,Urbana,Particular Permanente,Calçamento Total,Terra,Alvenaria com Revestimento
FAM00143,Iguaçu,Urbana,Urbana,Particular Improvisado,Calçamento Total,Madeira Aproveitada,Taipa/Adobe
FAM00144,Zona Rural Norte,Rural,Rural,Particular Permanente,Calçamento Parcial,Cimento,Alvenaria sem Revestimento
FAM00145,Thomaz Coelho,Urbana,Urbana,Particular Permanente,Calçamento Parcial,Terra,Madeira Aproveitada
FAM00146,Tindiquera,Urbana,Rural,Particular Permanente,Calçamento Parcial,Cimento,Alvenaria sem Revestimento
FAM00147,Passaúna,Urbana,Urbana,Particular Permanente,Calçamento Total,Cerâmica/Lajota/Pedra,Alvenaria com Revestimento
FAM00148,Dist. Industrial Norte,Industrial,Urbana,Particular Improvisado,Calçamento Total,Madeira Aproveitada,Alvenaria com Revestimento
FAM00149,Costeira,Urbana,Urbana,Particular Permanente,Calçamento Parcial,Cerâmica/Lajota/Pedra,Alvenaria sem Revestimento
FAM00150,Iguaçu,Urbana,Rural,Particular Permanente,Calçamento Parcial,Cerâmica/Lajota/Pedra,Alvenaria com Revestimento
FAM00151,Zona Rural Leste,Rural,Rural,Particular Improvisado,Calçamento Parcial,Madeira Aproveitada,Madeira Aparelhada
FAM00152,Chapada,Urbana,Urbana,Particular Improvisado,Calçamento Parcial,Terra,Alvenaria sem Revestimento
FAM00153,Cachoeira,Urbana,Urbana,Particular Improvisado,Calçamento Total,Cerâmica/Lajota/Pedra,Alvenaria sem Revestimento
FAM00154,Passaúna,Urbana,Urbana,Particular Permanente,Calçamento Total,Cerâmica/Lajota/Pedra,Alvenaria com Revestimento
FAM00155,Campina da Barra,Urbana,Urbana,Particular Improvisado,Calçamento Parcial,Terra,Alvenaria sem Revestimento
FAM00156,Tindiquera,Urbana,Urbana,Particular Permanente,Calçamento Parcial,Madeira Aproveitada,Alvenaria com Revestimento
FAM00157,Fazenda Velha,Urbana,Urbana,Particular Permanente,Calçamento Parcial,Madeira Aproveitada,Alvenaria com Revestimento
FAM00158,Estação,Urbana,Urbana,Particular Permanente,Calçamento Total,Cerâmica/Lajota/Pedra,Alvenaria sem Revestimento
FAM00159,Tindiquera,Urbana,Urbana,Particular Permanente,Sem Calçamento,Cerâmica/Lajota/Pedra,Alvenaria sem Revestimento
FAM00160,Tindiquera,Urbana,Rural,Particular Improvisado,Calçamento Total,Cerâmica/Lajota/Pedra,Madeira Aproveitada
FAM00161,Centro,Urbana,Urbana,Particular Improvisado,Calçamento Parcial,Madeira Aproveitada,Alvenaria sem Revestimento
FAM00162,Chapada,Urbana,Urbana,Particular Permanente,Calçamento Total,Cimento,Alvenaria com Revestimento
FAM00163,Tindiquera,Urbana,Urbana,Particular Improvisado,Sem Calçamento,Cimento,Taipa/Adobe
FAM00164,Zona Rural Sul,Rural,Rural,Particular Permanente,Calçamento Parcial,Terra,Alvenaria com Revestimento
FAM00165,Zona Rural Norte,Rural,Rural,Particular Improvisado,Sem Calçamento,Madeira Aproveitada,Alvenaria sem Revestimento
FAM00166,Centro,Urbana,Urbana,Particular Permanente,Calçamento Total,Cerâmica/Lajota/Pedra,Alvenaria com Revestimento
FAM00167,Tindiquera,Urbana,Urbana,Particular Permanente,Sem Calçamento,Cerâmica/Lajota/Pedra,Alvenaria com Revestimento
FAM00168,Carvalho,Urbana,Urbana,Particular Permanente,Calçamento Total,Cimento,Madeira Aproveitada
FAM00169,Tindiquera,Urbana,Rural,Coletivo,Calçamento Total,Carpete,Madeira Aproveitada
FAM00170,Campina da Barra,Urbana,Urbana,Particular Permanente,Calçamento Total,Madeira Aproveitada,Alvenaria sem Revestimento
FAM00171,Zona Rural Sul,Rural,Rural,Particular Permanente,Sem Calçamento,Terra,Alvenaria sem Revestimento
FAM00172,São Luís,Urbana,Urbana,Particular Permanente,Calçamento Total,Terra,Alvenaria com Revestimento
FAM00173,Cachoeira,Urbana,Urbana,Particular Permanente,Calçamento Total,Cerâmica/Lajota/Pedra,Alvenaria sem Revestimento
FAM00174,Dist. Industrial Sul,Industrial,Urbana,Particular Improvisado,Calçamento Parcial,Cerâmica/Lajota/Pedra,Alvenaria com Revestimento
FAM00175,Dist. Industrial Sul,Industrial,Urbana,Particular Improvisado,Calçamento Parcial,Madeira Aproveitada,Alvenaria sem Revestimento
FAM00176,Costeira,Urbana,Urbana,Particular Permanente,Calçamento Total,Cerâmica/Lajota/Pedra,Alvenaria com Revestimento
FAM00177,Campina da Barra,Urbana,Rural,Particular Permanente,Calçamento Total,Cerâmica/Lajota/Pedra,Alvenaria sem Revestimento
FAM00178,Cachoeira,Urbana,Urbana,Particular Permanente,Calçamento Parcial,Cerâmica/Lajota/Pedra,Alvenaria com Revestimento
FAM00179,Thomaz Coelho,Urbana,Urbana,Particular Permanente,Sem Calçamento,Carpete,Alvenaria sem Revestimento
FAM00180,Cachoeira,Urbana,Urbana,Particular Permanente,Calçamento Parcial,Cerâmica/Lajota/Pedra,Alvenaria sem Revestimento
FAM00181,Dist. Industrial Norte,Industrial,Urbana,Particular Permanente,Calçamento Parcial,Cimento,Alvenaria sem Revestimento
FAM00182,Carvalho,Urbana,Rural,Particular Permanente,Calçamento Parcial,Cerâmica/Lajota/Pedra,Alvenaria com Revestimento
FAM00183,Zona Rural Leste,Rural,Rural,Coletivo,Calçamento Parcial,Madeira Aproveitada,Alvenaria sem Revestimento
FAM00184,Campina da Barra,Urbana,Urbana,Coletivo,Sem Calçamento,Cerâmica/Lajota/Pedra,Madeira Aparelhada
FAM00185,Thomaz Coelho,Urbana,Urbana,Particular Permanente,Calçamento Parcial,Cerâmica/Lajota/Pedra,Alvenaria com Revestimento
FAM00186,Fazenda Velha,Urbana,Urbana,Particular Permanente,Calçamento Parcial,Cimento,Alvenaria com Revestimento
FAM00187,Zona Rural Norte,Rural,Rural,Particular Permanente,Sem Calçamento,Cerâmica/Lajota/Pedra,Madeira Aproveitada
FAM00188,Tindiquera,Urbana,Urbana,Particular Permanente,Calçamento Total,Cimento,Alvenaria sem Revestimento
FAM00189,Costeira,Urbana,Urbana,Particular Permanente,Sem Calçamento,Cimento,Alvenaria com Revestimento
FAM00190,Cachoeira,Urbana,Urbana,Particular Permanente,Calçamento Parcial,Cimento,Madeira Aproveitada
FAM00191,Thomaz Coelho,Urbana,Urbana,Particular Permanente,Calçamento Total,Cerâmica/Lajota/Pedra,Alvenaria sem Revestimento
FAM00192,Iguaçu,Urbana,Urbana,Particular Improvisado,Calçamento Parcial,Cimento,Madeira Aparelhada
FAM00193,Tindiquera,Urbana,Urbana,Particular Improvisado,Calçamento Total,Madeira Aproveitada,Madeira Aparelhada
FAM00194,Zona Rural Sul,Rural,Rural,Particular Permanente,Calçamento Parcial,Madeira Aproveitada,Alvenaria com Revestimento
FAM00195,Cachoeira,Urbana,Urbana,Particular Permanente,Calçamento Total,Cerâmica/Lajota/Pedra,Alvenaria com Revestimento
FAM00196,Zona Rural Norte,Rural,Rural,Particular Permanente,Calçamento Total,Terra,Alvenaria sem Revestimento
FAM00197,São Luís,Urbana,Urbana,Particular Permanente,Calçamento Total,Cerâmica/Lajota/Pedra,Madeira Aparelhada
FAM00198,Centro,Urbana,Urbana,Particular Improvisado,Calçamento Total,Cerâmica/Lajota/Pedra,Alvenaria com Revestimento
FAM00199,Zona Rural Leste,Rural,Rural,Particular Permanente,Calçamento Total,Cerâmica/Lajota/Pedra,Alvenaria sem Revestimento
FAM00200,Zona Rural Norte,Rural,Rural,Particular Permanente,Calçamento Total,Carpete,Madeira Aproveitada
FAM00201,Zona Rural Leste,Rural,Rural,Coletivo,Calçamento Total,Cimento,Taipa/Adobe
FAM00202,Zona Rural Sul,Rural,Rural,Particular Improvisado,Sem Calçamento,Madeira Aproveitada,Taipa/Adobe
FAM00203,Zona Rural Norte,Rural,Rural,Particular Improvisado,Calçamento Parcial,Madeira Aproveitada,Alvenaria sem Revestimento
FAM00204,Costeira,Urbana,Urbana,Particular Permanente,Calçamento Total,Cerâmica/Lajota/Pedra,Madeira Aparelhada
FAM00205,Boqueirão,Urbana,Urbana,Particular Permanente,Calçamento Total,Cerâmica/Lajota/Pedra,Madeira Aparelhada
FAM00206,Tindiquera,Urbana,Urbana,Particular Permanente,Calçamento Parcial,Madeira Aproveitada,Alvenaria com Revestimento
FAM00207,Thomaz Coelho,Urbana,Urbana,Particular Permanente,Calçamento Parcial,Cimento,Madeira Aproveitada
FAM00208,Centro,Urbana,Urbana,Particular Permanente,Calçamento Parcial,Cimento,Alvenaria sem Revestimento
FAM00209,Fazenda Velha,Urbana,Urbana,Particular Permanente,Calçamento Total,Cerâmica/Lajota/Pedra,Alvenaria com Revestimento
FAM00210,Zona Rural Leste,Rural,Rural,Particular Permanente,Calçamento Parcial,Madeira Aproveitada,Madeira Aproveitada
FAM00211,Iguaçu,Urbana,Urbana,Particular Improvisado,Calçamento Total,Cerâmica/Lajota/Pedra,Alvenaria sem Revestimento
FAM00212,Dist. Industrial Sul,Industrial,Urbana,Particular Permanente,Calçamento Total,Cimento,Madeira Aproveitada
FAM00213,Cachoeira,Urbana,Urbana,Particular Permanente,Calçamento Total,Cimento,Alvenaria com Revestimento
FAM00214,Thomaz Coelho,Urbana,Urbana,Particular Permanente,Sem Calçamento,Cimento,Madeira Aproveitada
FAM00215,Zona Rural Leste,Rural,Rural,Particular Permanente,Calçamento Parcial,Terra,Madeira Aproveitada
FAM00216,Zona Rural Leste,Rural,Rural,Particular Improvisado,Sem Calçamento,Cimento,Taipa/Adobe
FAM00217,São Luís,Urbana,Urbana,Particular Permanente,Calçamento Total,Cerâmica/Lajota/Pedra,Alvenaria sem Revestimento
FAM00218,Dist. Industrial Norte,Industrial,Urbana,Particular Permanente,Calçamento Total,Cimento,Alvenaria sem Revestimento
FAM00219,Costeira,Urbana,Rural,Particular Permanente,Sem Calçamento,Cerâmica/Lajota/Pedra,Madeira Aproveitada
