id_familia,bairro,regiao,qtd_pessoas,renda_per_capita,faixa_renda_pc,renda_familiar,faixa_renda_fam,unipessoal,cadastro_atualizado,data_atualizacao,lat,lng
FAM00018,Estação,Urbana,2,477.86,Acima de 2 SM,955.72,Até 1 SM,Não,Sim,2024-08-05,-25.580539,-49.412872
FAM00019,Dist. Industrial Sul,Industrial,2,216.94,Pobreza,433.88,Até 1 SM,Não,Não,2022-06-26,-25.619257,-49.382593
FAM00020,Centro,Urbana,4,291.17,Baixa Renda,1164.68,Até 1 SM,Não,Não,2023-04-17,-25.582191,-49.404776
FAM00021,Dist. Industrial Sul,Industrial,1,287.46,Baixa Renda,287.46,Até 1 SM,Sim,Não,2023-04-24,-25.606125,-49.38431
FAM00022,Dist. Industrial Norte,Industrial,1,596.56,Acima de 2 SM,596.56,Até 1 SM,Sim,Sim,2024-04-02,-25.546895,-49.374476
FAM00023,Fazenda Velha,Urbana,1,0.0,Sem Renda,0.0,Até 1 SM,Sim,Não,2022-03-20,-25.585839,-49.37446
FAM00024,Costeira,Urbana,4,178.41,Pobreza,713.64,Até 1 SM,Não,Não,2022-03-12,-25.595362,-49.401836
FAM00025,Zona Rural Leste,Rural,3,806.59,Acima de 2 SM,2419.77,1 a 2 SM,Não,Não,2022-03-23,-25.58215,-49.359354
FAM00026,Fazenda Velha,Urbana,4,55.46,Pobreza,221.84,Até 1 SM,Não,Sim,2024-03-25,-25.567937,-49.386083
FAM00027,Campina da Barra,Urbana,1,592.11,Acima de 2 SM,592.11,Até 1 SM,Sim,Sim,2026-02-05,-25.566685,-49.396765
FAM00028,Campina da Barra,Urbana,3,287.56,Baixa Renda,862.68,Até 1 SM,Não,Não,2024-02-27,-25.573734,-49.402587
FAM00029,Zona Rural Norte,Rural,3,620.53,Acima de 2 SM,1861.59,1 a 2 SM,Não,Não,2023-11-27,-25.521091,-49.438027
FAM00030,Estação,Urbana,7,305.07,Baixa Renda,2135.49,1 a 2 SM,Não,Sim,2026-02-01,-25.596969,-49.415478
FAM00031,Dist. Industrial Sul,Industrial,2,622.13,Acima de 2 SM,1244.26,Até 1 SM,Não,Sim,2024-08-10,-25.626168,-49.370404
FAM00032,Dist. Industrial Norte,Industrial,1,104.44,Pobreza,104.44,Até 1 SM,Sim,Sim,2024-07-17,-25.568756,-49.377437
FAM00033,Passaúna,Urbana,4,292.36,Baixa Renda,1169.44,Até 1 SM,Não,Não,2024-01-27,-25.530786,-49.419077
FAM00034,Zona Rural Leste,Rural,2,648.01,Acima de 2 SM,1296.02,Até 1 SM,Não,Sim,2024-08-04,-25.58835,-49.347683
FAM00035,Fazenda Velha,Urbana,4,178.87,Pobreza,715.48,Até 1 SM,Não,Não,2023-06-05,-25.573101,-49.375283
FAM00036,São Luís,Urbana,1,42.92,Pobreza,42.92,Até 1 SM,Sim,Sim,2024-08-13,-25.578643,-49.384087
FAM00037,Zona Rural Norte,Rural,3,192.66,Pobreza,577.98,Até 1 SM,Não,Sim,2025-01-16,-25.510276,-49.445625
FAM00038,Chapada,Urbana,5,0.0,Sem Renda,0.0,Até 1 SM,Não,Sim,2024-09-13,-25.613873,-49.441117
FAM00039,Zona Rural Norte,Rural,2,535.4,Acima de 2 SM,1070.8,Até 1 SM,Não,Sim,2025-01-20,-25.513811,-49.4514
FAM00040,São Luís,Urbana,2,337.93,Baixa Renda,675.86,Até 1 SM,Não,Não,2022-08-22,-25.586972,-49.385283
FAM00041,Dist. Industrial Norte,Industrial,4,420.07,Baixa Renda,1680.28,1 a 2 SM,Não,Sim,2025-05-19,-25.568453,-49.377317
FAM00042,Centro,Urbana,3,304.33,Baixa Renda,912.99,Até 1 SM,Não,Sim,2025-04-18,-25.591357,-49.425616
FAM00043,Tindiquera,Urbana,4,10.15,Pobreza,40.6,Até 1 SM,Não,Sim,2024-11-10,-25.551501,-49.414367
FAM00044,Iguaçu,Urbana,1,8.81,Pobreza,8.81,Até 1 SM,Sim,Sim,2024-11-16,-25.599518,-49.409785
FAM00045,Centro,Urbana,2,329.37,Baixa Renda,658.74,Até 1 SM,Não,Sim,2025-04-08,-25.582755,-49.405675
FAM00046,Tindiquera,Urbana,5,25.45,Pobreza,127.25,Até 1 SM,Não,Não,2023-12-29,-25.555861,-49.420716
FAM00047,Campina da Barra,Urbana,4,410.79,Baixa Renda,1643.16,1 a 2 SM,Não,Sim,2024-10-01,-25.589496,-49.416286
FAM00048,Iguaçu,Urbana,2,122.7,Pobreza,245.4,Até 1 SM,Não,Sim,2024-07-25,-25.59315,-49.389989
FAM00049,Chapada,Urbana,4,675.2,Acima de 2 SM,2700.8,1 a 2 SM,Não,Não,2024-02-07,-25.613541,-49.444276
FAM00050,Fazenda Velha,Urbana,2,202.84,Pobreza,405.68,Até 1 SM,Não,Sim,2025-01-06,-25.58639,-49.382899
FAM00051,Fazenda Velha,Urbana,2,0.0,Sem Renda,0.0,Até 1 SM,Não,Não,2023-01-03,-25.575608,-49.380057
FAM00052,Tindiquera,Urbana,1,497.22,Acima de 2 SM,497.22,Até 1 SM,Sim,Sim,2024-08-02,-25.558434,-49.436919
FAM00053,Iguaçu,Urbana,7,0.0,Sem Renda,0.0,Até 1 SM,Não,Não,2023-01-03,-25.591938,-49.39694
FAM00054,Zona Rural Sul,Rural,4,120.57,Pobreza,482.28,Até 1 SM,Não,Sim,2025-05-07,-25.655379,-49.405821
FAM00055,Chapada,Urbana,7,0.0,Sem Renda,0.0,Até 1 SM,Não,Sim,2024-09-29,-25.593457,-49.440016
FAM00056,Estação,Urbana,3,470.76,Acima de 2 SM,1412.28,Até 1 SM,Não,Não,2022-12-13,-25.605814,-49.415512
FAM00057,Costeira,Urbana,1,0.0,Sem Renda,0.0,Até 1 SM,Sim,Não,2023-01-29,-25.605061,-49.415059
FAM00058,Dist. Industrial Norte,Industrial,3,381.46,Baixa Renda,1144.38,Até 1 SM,Não,Não,2022-04-23,-25.550453,-49.389807
FAM00059,Costeira,Urbana,1,0.0,Sem Renda,0.0,Até 1 SM,Sim,Sim,2024-06-12,-25.617745,-49.407816
FAM00060,Fazenda Velha,Urbana,1,207.37,Pobreza,207.37,Até 1 SM,Sim,Não,2023-10-19,-25.561654,-49.382152
FAM00061,Zona Rural Leste,Rural,4,763.0,Acima de 2 SM,3052.0,2 a 3 SM,Não,Sim,2024-03-12,-25.604069,-49.343981
FAM00062,Chapada,Urbana,7,6.93,Pobreza,48.51,Até 1 SM,Não,Sim,2025-12-12,-25.591117,-49.427229
FAM00063,São Luís,Urbana,3,120.92,Pobreza,362.76,Até 1 SM,Não,Não,2022-03-21,-25.574361,-49.388503
FAM00064,Dist. Industrial Norte,Industrial,3,796.51,Acima de 2 SM,2389.53,1 a 2 SM,Não,Sim,2025-11-22,-25.565404,-49.38947
FAM00065,Zona Rural Norte,Rural,4,670.75,Acima de 2 SM,2683.0,1 a 2 SM,Não,Não,2023-06-18,-25.520413,-49.464829
FAM00066,Dist. Industrial Sul,Industrial,4,485.86,Acima de 2 SM,1943.44,1 a 2 SM,Não,Não,2023-09-03,-25.608747,-49.356559
FAM00067,Tindiquera,Urbana,5,154.72,Pobreza,773.6,Até 1 SM,Não,Não,2022-04-11,-25.568951,-49.426695
FAM00068,Centro,Urbana,2,683.98,Acima de 2 SM,1367.96,Até 1 SM,Não,Sim,2026-01-11,-25.60294,-49.411187
FAM00069,Iguaçu,Urbana,2,122.45,Pobreza,244.9,Até 1 SM,Não,Sim,2024-11-11,-25.610927,-49.40099
FAM00070,Iguaçu,Urbana,2,105.24,Pobreza,210.48,Até 1 SM,Não,Sim,2024-12-19,-25.61134,-49.395757
FAM00071,Tindiquera,Urbana,1,433.24,Baixa Renda,433.24,Até 1 SM,Sim,Não,2022-12-28,-25.575058,-49.424192
FAM00072,Zona Rural Sul,Rural,3,0.0,Sem Renda,0.0,Até 1 SM,Não,Não,2024-01-26,-25.653277,-49.406807
FAM00073,Zona Rural Norte,Rural,2,312.34,Baixa Renda,624.68,Até 1 SM,Não,Sim,2025-12-28,-25.522481,-49.448149
FAM00074,Iguaçu,Urbana,5,418.41,Baixa Renda,2092.05,1 a 2 SM,Não,Não,2023-07-13,-25.601657,-49.398417
FAM00075,Carvalho,Urbana,3,113.19,Pobreza,339.57,Até 1 SM,Não,Não,2022-08-16,-25.583112,-49.441126
FAM00076,Thomaz Coelho,Urbana,2,278.72,Baixa Renda,557.44,Até 1 SM,Não,Não,2022-10-24,-25.622285,-49.415227
FAM00077,Zona Rural Sul,Rural,5,38.63,Pobreza,193.15,Até 1 SM,Não,Sim,2024-07-13,-25.645842,-49.418828
FAM00078,Cachoeira,Urbana,1,273.05,Baixa Renda,273.05,Até 1 SM,Sim,Não,2024-01-20,-25.540607,-49.400484
FAM00079,Iguaçu,Urbana,3,12.07,Pobreza,36.21,Até 1 SM,Não,Não,2023-10-08,-25.598157,-49.395313
FAM00080,Tindiquera,Urbana,3,0.0,Sem Renda,0.0,Até 1 SM,Não,Sim,2025-08-17,-25.552228,-49.422398
FAM00081,São Luís,Urbana,4,120.92,Pobreza,483.68,Até 1 SM,Não,Sim,2024-11-02,-25.595449,-49.378389
FAM00082,Tindiquera,Urbana,2,21.76,Pobreza,43.52,Até 1 SM,Não,Não,2023-11-20,-25.573371,-49.429215
FAM00083,Estação,Urbana,1,0.0,Sem Renda,0.0,Até 1 SM,Sim,Não,2022-03-03,-25.596676,-49.435488
FAM00084,Zona Rural Sul,Rural,2,0.0,Sem Renda,0.0,Até 1 SM,Não,Não,2023-04-27,-25.646531,-49.399853
FAM00085,Thomaz Coelho,Urbana,2,51.1,Pobreza,102.2,Até 1 SM,Não,Não,2022-10-19,-25.608668,-49.40618
FAM00086,Tindiquera,Urbana,3,95.91,Pobreza,287.73,Até 1 SM,Não,Sim,2024-03-18,-25.573143,-49.432002
FAM00087,Zona Rural Leste,Rural,4,0.0,Sem Renda,0.0,Até 1 SM,Não,Sim,2025-04-10,-25.602229,-49.344141
FAM00088,Passaúna,Urbana,3,21.02,Pobreza,63.06,Até 1 SM,Não,Sim,2025-11-15,-25.537822,-49.421507
FAM00089,Campina da Barra,Urbana,1,494.65,Acima de 2 SM,494.65,Até 1 SM,Sim,Sim,2025-02-28,-25.579981,-49.393628
FAM00090,Centro,Urbana,2,0.0,Sem Renda,0.0,Até 1 SM,Não,Sim,2024-08-21,-25.592403,-49.427678
FAM00091,Campina da Barra,Urbana,2,0.0,Sem Renda,0.0,Até 1 SM,Não,Sim,2025-07-19,-25.574597,-49.412137
FAM00092,Chapada,Urbana,5,141.48,Pobreza,707.4,Até 1 SM,Não,Não,2023-04-02,-25.609382,-49.431834
FAM00093,Dist. Industrial Sul,Industrial,3,132.15,Pobreza,396.45,Até 1 SM,Não,Não,2023-11-08,-25.621523,-49.376014
FAM00094,Thomaz Coelho,Urbana,5,31.88,Pobreza,159.4,Até 1 SM,Não,Sim,2024-11-21,-25.60789,-49.427412
FAM00095,Centro,Urbana,3,198.34,Pobreza,595.02,Até 1 SM,Não,Não,2022-07-02,-25.581637,-49.425956
FAM00096,Fazenda Velha,Urbana,1,0.0,Sem Renda,0.0,Até 1 SM,Sim,Não,2022-03-06,-25.573152,-49.400203
FAM00097,Zona Rural Leste,Rural,5,192.73,Pobreza,963.65,Até 1 SM,Não,Não,2023-06-07,-25.591998,-49.349581
FAM00098,Passaúna,Urbana,4,0.0,Sem Renda,0.0,Até 1 SM,Não,Sim,2025-01-23,-25.552204,-49.433483
FAM00099,Zona Rural Leste,Rural,2,436.12,Acima de 2 SM,872.24,Até 1 SM,Não,Sim,2025-10-17,-25.600098,-49.363876
FAM00100,Zona Rural Norte,Rural,4,292.72,Baixa Renda,1170.88,Até 1 SM,Não,Não,2024-01-29,-25.509482,-49.43633
FAM00101,Centro,Urbana,4,393.75,Baixa Renda,1575.0,1 a 2 SM,Não,Sim,2024-10-15,-25.601014,-49.427633
FAM00102,Dist. Industrial Norte,Industrial,1,0.0,Sem Renda,0.0,Até 1 SM,Sim,Sim,2024-11-29,-25.547665,-49.386431
FAM00103,Carvalho,Urbana,1,0.0,Sem Renda,0.0,Até 1 SM,Sim,Não,2023-06-20,-25.556545,-49.440114
FAM00104,Passaúna,Urbana,2,217.52,Pobreza,435.04,Até 1 SM,Não,Não,2023-12-11,-25.537347,-49.43284
FAM00105,Iguaçu,Urbana,1,325.4,Baixa Renda,325.4,Até 1 SM,Sim,Sim,2025-08-24,-25.588969,-49.386192
FAM00106,Chapada,Urbana,6,363.2,Baixa Renda,2179.2,1 a 2 SM,Não,Sim,2025-09-03,-25.618787,-49.423214
FAM00107,Campina da Barra,Urbana,7,0.0,Sem Renda,0.0,Até 1 SM,Não,Não,2022-11-02,-25.587257,-49.391895
FAM00108,Cachoeira,Urbana,2,74.49,Pobreza,148.98,Até 1 SM,Não,Sim,2025-04-02,-25.544153,-49.405692
FAM00109,Cachoeira,Urbana,2,0.0,Sem Renda,0.0,Até 1 SM,Não,Sim,2025-04-18,-25.563896,-49.428238
FAM00110,Zona Rural Leste,Rural,3,581.68,Acima de 2 SM,1745.04,1 a 2 SM,Não,Não,2022-05-26,-25.588436,-49.34737
FAM00111,Zona Rural Norte,Rural,1,490.98,Acima de 2 SM,490.98,Até 1 SM,Sim,Sim,2025-02-12,-25.510624,-49.451095
FAM00112,Tindiquera,Urbana,4,426.86,Baixa Renda,1707.44,1 a 2 SM,Não,Não,2022-12-27,-25.553956,-49.437481
FAM00113,Boqueirão,Urbana,3,44.89,Pobreza,134.67,Até 1 SM,Não,Sim,2025-02-25,-25.632464,-49.381874
FAM00114,Costeira,Urbana,4,328.09,Baixa Renda,1312.36,Até 1 SM,Não,Não,2023-03-10,-25.613279,-49.404138
FAM00115,Zona Rural Sul,Rural,7,62.73,Pobreza,439.11,Até 1 SM,Não,Sim,2026-01-24,-25.65278,-49.406189
FAM00116,Zona Rural Norte,Rural,2,226.44,Baixa Renda,452.88,Até 1 SM,Não,Sim,2024-11-17,-25.514947,-49.447613
FAM00117,Iguaçu,Urbana,5,414.09,Baixa Renda,2070.45,1 a 2 SM,Não,Não,2023-10-30,-25.61651,-49.383944
FAM00118,Chapada,Urbana,5,637.79,Acima de 2 SM,3188.95,2 a 3 SM,Não,Não,2023-12-26,-25.603177,-49.440142
FAM00119,Estação,Urbana,1,274.29,Baixa Renda,274.29,Até 1 SM,Sim,Não,2022-06-24,-25.601231,-49.432287
FAM00120,Costeira,Urbana,4,0.0,Sem Renda,0.0,Até 1 SM,Não,Sim,2025-04-17,-25.598803,-49.394409
FAM00121,Dist. Industrial Sul,Industrial,5,244.62,Baixa Renda,1223.1,Até 1 SM,Não,Não,2022-06-02,-25.614569,-49.361435
FAM00122,Passaúna,Urbana,5,0.0,Sem Renda,0.0,Até 1 SM,Não,Sim,2025-10-23,-25.550131,-49.434737
FAM00123,Dist. Industrial Sul,Industrial,3,482.29,Acima de 2 SM,1446.87,Até 1 SM,Não,Sim,2025-02-05,-25.614368,-49.370497
FAM00124,Passaúna,Urbana,3,70.92,Pobreza,212.76,Até 1 SM,Não,Não,2024-02-05,-25.549027,-49.443741
FAM00125,Centro,Urbana,1,565.63,Acima de 2 SM,565.63,Até 1 SM,Sim,Não,2023-01-07,-25.584816,-49.410513
FAM00126,Iguaçu,Urbana,5,271.64,Baixa Renda,1358.2,Até 1 SM,Não,Não,2023-02-26,-25.592335,-49.401196
FAM00127,Centro,Urbana,3,0.0,Sem Renda,0.0,Até 1 SM,Não,Não,2023-03-10,-25.596886,-49.413351
FAM00128,Zona Rural Sul,Rural,1,821.42,Acima de 2 SM,821.42,Até 1 SM,Sim,Sim,2024-05-19,-25.638348,-49.419521
FAM00129,Zona Rural Norte,Rural,3,612.92,Acima de 2 SM,1838.76,1 a 2 SM,Não,Não,2023-02-01,-25.506944,-49.438891
FAM00130,Zona Rural Norte,Rural,5,0.0,Sem Renda,0.0,Até 1 SM,Não,Sim,2024-04-18,-25.526929,-49.463438
FAM00131,Iguaçu,Urbana,3,453.88,Acima de 2 SM,1361.64,Até 1 SM,Não,Sim,2025-03-22,-25.611446,-49.382455
FAM00132,Centro,Urbana,5,270.01,Baixa Renda,1350.05,Até 1 SM,Não,Não,2023-11-17,-25.607641,-49.412611
FAM00133,Zona Rural Norte,Rural,3,88.78,Pobreza,266.34,Até 1 SM,Não,Não,2022-11-08,-25.522654,-49.44765
FAM00134,Zona Rural Leste,Rural,4,177.73,Pobreza,710.92,Até 1 SM,Não,Não,2022-11-29,-25.601401,-49.344869
FAM00135,Campina da Barra,Urbana,4,398.93,Baixa Renda,1595.72,1 a 2 SM,Não,Sim,2026-02-01,-25.583599,-49.406759
FAM00136,Boqueirão,Urbana,4,467.81,Acima de 2 SM,1871.24,1 a 2 SM,Não,Não,2023-12-25,-25.634405,-49.378901
FAM00137,Centro,Urbana,2,617.74,Acima de 2 SM,1235.48,Até 1 SM,Não,Não,2023-08-05,-25.592072,-49.422185
FAM00138,Dist. Industrial Sul,Industrial,1,284.1,Baixa Renda,284.1,Até 1 SM,Sim,Sim,2024-11-27,-25.61952,-49.364347
FAM00139,Dist. Industrial Sul,Industrial,3,206.83,Pobreza,620.49,Até 1 SM,Não,Não,2023-04-23,-25.613743,-49.380659
FAM00140,Campina da Barra,Urbana,1,708.96,Acima de 2 SM,708.96,Até 1 SM,Sim,Sim,2024-10-17,-25.573268,-49.396947
FAM00141,Boqueirão,Urbana,3,0.0,Sem Renda,0.0,Até 1 SM,Não,Sim,2026-01-20,-25.635179,-49.384311
FAM00142,São Luís,Urbana,4,427.42,Baixa Renda,1709.68,1 a 2 SM,Não,Não,2022-12-30,-25.583079,-49.392117
FAM00143,Iguaçu,Urbana,6,0.0,Sem Renda,0.0,Até 1 SM,Não,Sim,2025-09-26,-25.613904,-49.383122
FAM00144,Zona Rural Norte,Rural,4,0.0,Sem Renda,0.0,Até 1 SM,Não,Sim,2025-08-15,-25.533902,-49.464649
FAM00145,Thomaz Coelho,Urbana,5,355.15,Baixa Renda,1775.75,1 a 2 SM,Não,Sim,2024-10-24,-25.633675,-49.41433
FAM00146,Tindiquera,Urbana,1,419.61,Baixa Renda,419.61,Até 1 SM,Sim,Sim,2024-08-10,-25.579997,-49.422109
FAM00147,Passaúna,Urbana,2,487.06,Acima de 2 SM,974.12,Até 1 SM,Não,Sim,2025-11-29,-25.533027,-49.439124
FAM00148,Dist. Industrial Norte,Industrial,6,137.09,Pobreza,822.54,Até 1 SM,Não,Sim,2024-06-26,-25.547958,-49.380045
FAM00149,Costeira,Urbana,2,0.0,Sem Renda,0.0,Até 1 SM,Não,Não,2023-11-02,-25.621747,-49.413122
FAM00150,Iguaçu,Urbana,5,0.0,Sem Renda,0.0,Até 1 SM,Não,Não,2022-10-31,-25.601015,-49.392981
FAM00151,Zona Rural Leste,Rural,3,117.19,Pobreza,351.57,Até 1 SM,Não,Sim,2025-08-27,-25.578758,-49.36154
FAM00152,Chapada,Urbana,1,335.51,Baixa Renda,335.51,Até 1 SM,Sim,Sim,2024-11-12,-25.596032,-49.442786
FAM00153,Cachoeira,Urbana,2,398.53,Baixa Renda,797.06,Até 1 SM,Não,Sim,2025-12-01,-25.552168,-49.404493
FAM00154,Passaúna,Urbana,4,36.73,Pobreza,146.92,Até 1 SM,Não,Sim,2024-08-13,-25.525217,-49.43487
FAM00155,Campina da Barra,Urbana,4,0.0,Sem Renda,0.0,Até 1 SM,Não,Sim,2025-02-05,-25.581577,-49.392839
FAM00156,Tindiquera,Urbana,1,794.74,Acima de 2 SM,794.74,Até 1 SM,Sim,Sim,2024-07-11,-25.572176,-49.440449
FAM00157,Fazenda Velha,Urbana,1,0.0,Sem Renda,0.0,Até 1 SM,Sim,Sim,2024-07-18,-25.574958,-49.378351
FAM00158,Estação,Urbana,4,0.0,Sem Renda,0.0,Até 1 SM,Não,Não,2023-04-10,-25.601748,-49.435501
FAM00159,Tindiquera,Urbana,4,338.45,Baixa Renda,1353.8,Até 1 SM,Não,Sim,2025-12-11,-25.561249,-49.441409
FAM00160,Tindiquera,Urbana,6,694.28,Acima de 2 SM,4165.68,2 a 3 SM,Não,Sim,2025-10-20,-25.578179,-49.41894
FAM00161,Centro,Urbana,2,427.75,Baixa Renda,855.5,Até 1 SM,Não,Não,2022-07-22,-25.602477,-49.399847
FAM00162,Chapada,Urbana,1,352.96,Baixa Renda,352.96,Até 1 SM,Sim,Sim,2024-07-05,-25.59822,-49.434348
FAM00163,Tindiquera,Urbana,4,529.93,Acima de 2 SM,2119.72,1 a 2 SM,Não,Sim,2025-07-31,-25.570712,-49.419651
FAM00164,Zona Rural Sul,Rural,4,406.85,Baixa Renda,1627.4,1 a 2 SM,Não,Sim,2025-12-05,-25.659402,-49.40134
FAM00165,Zona Rural Norte,Rural,2,406.15,Baixa Renda,812.3,Até 1 SM,Não,Não,2023-04-16,-25.517729,-49.440558
FAM00166,Centro,Urbana,2,1397.29,Acima de 2 SM,2794.58,1 a 2 SM,Não,Não,2022-04-04,-25.605954,-49.407652
FAM00167,Tindiquera,Urbana,4,180.79,Pobreza,723.16,Até 1 SM,Não,Sim,2024-09-20,-25.562386,-49.416496
FAM00168,Carvalho,Urbana,1,1143.96,Acima de 2 SM,1143.96,Até 1 SM,Sim,Sim,2025-08-26,-25.566074,-49.45406
FAM00169,Tindiquera,Urbana,4,854.15,Acima de 2 SM,3416.6,2 a 3 SM,Não,Não,2022-09-25,-25.557159,-49.4281
FAM00170,Campina da Barra,Urbana,3,0.0,Sem Renda,0.0,Até 1 SM,Não,Sim,2025-02-16,-25.589739,-49.416203
FAM00171,Zona Rural Sul,Rural,4,159.25,Pobreza,637.0,Até 1 SM,Não,Não,2022-10-28,-25.661409,-49.403257
FAM00172,São Luís,Urbana,1,386.27,Baixa Renda,386.27,Até 1 SM,Sim,Sim,2024-07-22,-25.596734,-49.386233
FAM00173,Cachoeira,Urbana,2,131.63,Pobreza,263.26,Até 1 SM,Não,Sim,2025-05-03,-25.562795,-49.416461
FAM00174,Dist. Industrial Sul,Industrial,5,387.61,Baixa Renda,1938.05,1 a 2 SM,Não,Sim,2024-04-09,-25.625871,-49.356932
FAM00175,Dist. Industrial Sul,Industrial,6,666.07,Acima de 2 SM,3996.42,2 a 3 SM,Não,Sim,2025-01-09,-25.62216,-49.373065
FAM00176,Costeira,Urbana,2,821.34,Acima de 2 SM,1642.68,1 a 2 SM,Não,Sim,2024-09-27,-25.598075,-49.409326
FAM00177,Campina da Barra,Urbana,3,789.42,Acima de 2 SM,2368.26,1 a 2 SM,Não,Não,2023-03-23,-25.571058,-49.408288
FAM00178,Cachoeira,Urbana,2,188.23,Pobreza,376.46,Até 1 SM,Não,Não,2023-01-30,-25.5429,-49.414142
FAM00179,Thomaz Coelho,Urbana,3,1527.19,Acima de 2 SM,4581.57,Acima de 3 SM,Não,Sim,2025-10-20,-25.610901,-49.426427
FAM00180,Cachoeira,Urbana,4,354.46,Baixa Renda,1417.84,Até 1 SM,Não,Não,2022-08-31,-25.547819,-49.418724
FAM00181,Dist. Industrial Norte,Industrial,5,117.15,Pobreza,585.75,Até 1 SM,Não,Não,2024-02-11,-25.555622,-49.373897
FAM00182,Carvalho,Urbana,6,0.0,Sem Renda,0.0,Até 1 SM,Não,Sim,2024-11-30,-25.576167,-49.455761
FAM00183,Zona Rural Leste,Rural,4,660.65,Acima de 2 SM,2642.6,1 a 2 SM,Não,Não,2023-09-08,-25.599783,-49.358523
FAM00184,Campina da Barra,Urbana,4,767.41,Acima de 2 SM,3069.64,2 a 3 SM,Não,Não,2022-06-24,-25.569088,-49.39429
FAM00185,Thomaz Coelho,Urbana,1,350.98,Baixa Renda,350.98,Até 1 SM,Sim,Sim,2024-04-01,-25.634102,-49.410862
FAM00186,Fazenda Velha,Urbana,4,137.79,Pobreza,551.16,Até 1 SM,Não,Sim,2024-12-13,-25.589552,-49.387542
FAM00187,Zona Rural Norte,Rural,2,118.5,Pobreza,237.0,Até 1 SM,Não,Sim,2024-10-25,-25.517372,-49.441806
FAM00188,Tindiquera,Urbana,4,738.86,Acima de 2 SM,2955.44,1 a 2 SM,Não,Sim,2025-11-09,-25.576496,-49.41361
FAM00189,Costeira,Urbana,1,735.79,Acima de 2 SM,735.79,Até 1 SM,Sim,Sim,2025-11-07,-25.606638,-49.411623
FAM00190,Cachoeira,Urbana,5,408.06,Baixa Renda,2040.3,1 a 2 SM,Não,Não,2023-09-06,-25.545738,-49.411191
FAM00191,Thomaz Coelho,Urbana,6,594.27,Acima de 2 SM,3565.62,2 a 3 SM,Não,Não,2023-11-09,-25.614858,-49.417111
FAM00192,Iguaçu,Urbana,6,1509.8,Acima de 2 SM,9058.8,Acima de 3 SM,Não,Não,2022-10-16,-25.614996,-49.386668
FAM00193,Tindiquera,Urbana,1,0.0,Sem Renda,0.0,Até 1 SM,Sim,Sim,2024-05-27,-25.569264,-49.415082
FAM00194,Zona Rural Sul,Rural,4,0.0,Sem Renda,0.0,Até 1 SM,Não,Sim,2025-04-01,-25.664986,-49.421621
FAM00195,Cachoeira,Urbana,1,282.69,Baixa Renda,282.69,Até 1 SM,Sim,Sim,2024-09-06,-25.547223,-49.40822
