id_familia,bairro,regiao,bolsa_familia,bpc_loas,auxilio_gas,id_jovem,carteira_idoso
FAM00035,Fazenda Velha,Urbana,Sim,Não,Não,Não,Não
FAM00036,São Luís,Urbana,Sim,Não,Não,Não,Não
FAM00037,Zona Rural Norte,Rural,Sim,Não,Sim,Não,Não
FAM00038,Chapada,Urbana,Não,Não,Sim,Não,Não
FAM00039,Zona Rural Norte,Rural,Não,Não,Não,Não,Não
FAM00040,São Luís,Urbana,Não,Não,Sim,Não,Não
FAM00041,Dist. Industrial Norte,Industrial,Não,Não,Não,Não,Não
FAM00042,Centro,Urbana,Não,Sim,Não,Sim,Não
FAM00043,Tindiquera,Urbana,Sim,Não,Sim,Não,Não
FAM00044,Iguaçu,Urbana,Sim,Não,Não,Não,Não
FAM00045,Centro,Urbana,Não,Não,Sim,Não,Não
FAM00046,Tindiquera,Urbana,Sim,Não,Não,Não,Sim
FAM00047,Campina da Barra,Urbana,Não,Não,Sim,Não,Não
FAM00048,Iguaçu,Urbana,Sim,Sim,Sim,Sim,Não
FAM00049,Chapada,Urbana,Não,Não,Não,Não,Não
FAM00050,Fazenda Velha,Urbana,Sim,Não,Sim,Não,Não
FAM00051,Fazenda Velha,Urbana,Não,Não,Não,Não,Sim
FAM00052,Tindiquera,Urbana,Não,Não,Não,Não,Não
FAM00053,Iguaçu,Urbana,Sim,Não,Sim,Não,Não
FAM00054,Zona Rural Sul,Rural,Sim,Não,Não,Não,Não
FAM00055,Chapada,Urbana,Sim,Não,Não,Não,Não
FAM00056,Estação,Urbana,Não,Não,Não,Não,Sim
FAM00057,Costeira,Urbana,Sim,Não,Sim,Não,Não
FAM00058,Dist. Industrial Norte,Industrial,Não,Sim,Não,Não,Não
FAM00059,Costeira,Urbana,Sim,Não,Sim,Não,Não
FAM00060,Fazenda Velha,Urbana,Sim,Não,Não,Não,Não
FAM00061,Zona Rural Leste,Rural,Não,Não,Não,Não,Não
FAM00062,Chapada,Urbana,Sim,Não,Sim,Não,Não
FAM00063,São Luís,Urbana,Não,Não,Sim,Não,Não
FAM00064,Dist. Industrial Norte,Industrial,Não,Não,Não,Não,Não
FAM00065,Zona Rural Norte,Rural,Não,Não,Não,Não,Não
FAM00066,Dist. Industrial Sul,Industrial,Não,Não,Não,Sim,Não
FAM00067,Tindiquera,Urbana,Sim,Não,Não,Não,Não
FAM00068,Centro,Urbana,Não,Não,Não,Sim,Não
FAM00069,Iguaçu,Urbana,Sim,Não,Sim,Não,Não
FAM00070,Iguaçu,Urbana,Sim,Não,Sim,Não,Não
FAM00071,Tindiquera,Urbana,Não,Não,Sim,Não,Não
FAM00072,Zona Rural Sul,Rural,Não,Não,Não,Não,Não
FAM00073,Zona Rural Norte,Rural,Não,Não,Não,Não,Não
FAM00074,Iguaçu,Urbana,Não,Não,Não,Não,Não
FAM00075,Carvalho,Urbana,Sim,Não,Sim,Não,Não
FAM00076,Thomaz Coelho,Urbana,Não,Não,Sim,Não,Não
FAM00077,Zona Rural Sul,Rural,Sim,Não,Sim,Não,Não
FAM00078,Cachoeira,Urbana,Não,Não,Não,Não,Não
FAM00079,Iguaçu,Urbana,Sim,Não,Sim,Sim,Não
FAM00080,Tindiquera,Urbana,Sim,Não,Sim,Não,Não
FAM00081,São Luís,Urbana,Sim,Não,Sim,Não,Não
FAM00082,Tindiquera,Urbana,Sim,Não,Não,Não,Não
FAM00083,Estação,Urbana,Sim,Não,Sim,Não,Não
FAM00084,Zona Rural Sul,Rural,Sim,Não,Sim,Não,Não
FAM00085,Thomaz Coelho,Urbana,Sim,Não,Sim,Sim,Não
FAM00086,Tindiquera,Urbana,Sim,Não,Não,Não,Não
FAM00087,Zona Rural Leste,Rural,Não,Não,Não,Não,Não
FAM00088,Passaúna,Urbana,Sim,Não,Sim,Não,Não
FAM00089,Campina da Barra,Urbana,Não,Não,Não,Não,Não
FAM00090,Centro,Urbana,Sim,Não,Não,Não,Não
FAM00091,Campina da Barra,Urbana,Sim,Não,Não,Não,Não
FAM00092,Chapada,Urbana,Sim,Não,Não,Não,Não
FAM00093,Dist. Industrial Sul,Industrial,Sim,Não,Não,Não,Não
FAM00094,Thomaz Coelho,Urbana,Não,Não,Sim,Não,Não
FAM00095,Centro,Urbana,Não,Sim,Sim,Não,Não
FAM00096,Fazenda Velha,Urbana,Sim,Não,Sim,Não,Não
FAM00097,Zona Rural Leste,Rural,Sim,Não,Sim,Não,Não
FAM00098,Passaúna,Urbana,Sim,Não,Não,Não,Não
FAM00099,Zona Rural Leste,Rural,Não,Não,Não,Não,Não
FAM00100,Zona Rural Norte,Rural,Não,Não,Sim,Não,Não
FAM00101,Centro,Urbana,Não,Não,Não,Não,Não
FAM00102,Dist. Industrial Norte,Industrial,Sim,Não,Sim,Não,Não
FAM00103,Carvalho,Urbana,Sim,Não,Sim,Não,Não
FAM00104,Passaúna,Urbana,Sim,Não,Sim,Sim,Não
FAM00105,Iguaçu,Urbana,Não,Não,Não,Não,Não
FAM00106,Chapada,Urbana,Não,Não,Sim,Não,Não
FAM00107,Campina da Barra,Urbana,Sim,Não,Sim,Não,Não
FAM00108,Cachoeira,Urbana,Sim,Não,Não,Não,Não
FAM00109,Cachoeira,Urbana,Sim,Não,Sim,Não,Não
FAM00110,Zona Rural Leste,Rural,Não,Não,Não,Não,Não
FAM00111,Zona Rural Norte,Rural,Não,Não,Não,Não,Não
FAM00112,Tindiquera,Urbana,Não,Não,Sim,Não,Não
FAM00113,Boqueirão,Urbana,Sim,Não,Sim,Não,Não
FAM00114,Costeira,Urbana,Não,Sim,Não,Não,Não
FAM00115,Zona Rural Sul,Rural,Sim,Não,Sim,Não,Não
FAM00116,Zona Rural Norte,Rural,Não,Não,Sim,Sim,Não
FAM00117,Iguaçu,Urbana,Não,Não,Não,Não,Não
FAM00118,Chapada,Urbana,Não,Não,Não,Não,Sim
FAM00119,Estação,Urbana,Não,Não,Não,Não,Não
FAM00120,Costeira,Urbana,Não,Não,Sim,Não,Não
FAM00121,Dist. Industrial Sul,Industrial,Não,Não,Sim,Não,Não
FAM00122,Passaúna,Urbana,Sim,Não,Sim,Não,Não
FAM00123,Dist. Industrial Sul,Industrial,Não,Não,Não,Não,Não
FAM00124,Passaúna,Urbana,Sim,Não,Não,Não,Não
FAM00125,Centro,Urbana,Não,Não,Não,Não,Não
FAM00126,Iguaçu,Urbana,Não,Não,Sim,Não,Não
FAM00127,Centro,Urbana,Sim,Não,Sim,Não,Não
FAM00128,Zona Rural Sul,Rural,Não,Não,Não,Não,Não
FAM00129,Zona Rural Norte,Rural,Não,Não,Não,Não,Não
FAM00130,Zona Rural Norte,Rural,Sim,Não,Sim,Não,Não
FAM00131,Iguaçu,Urbana,Não,Não,Não,Não,Não
FAM00132,Centro,Urbana,Não,Sim,Sim,Não,Não
FAM00133,Zona Rural Norte,Rural,Sim,Sim,Sim,Não,Não
FAM00134,Zona Rural Leste,Rural,Sim,Não,Sim,Não,Não
FAM00135,Campina da Barra,Urbana,Não,Não,Sim,Não,Não
FAM00136,Boqueirão,Urbana,Não,Não,Não,Não,Não
FAM00137,Centro,Urbana,Não,Não,Não,Não,Não
FAM00138,Dist. Industrial Sul,Industrial,Não,Não,Sim,Não,Não
FAM00139,Dist. Industrial Sul,Industrial,Sim,Não,Sim,Sim,Não
FAM00140,Campina da Barra,Urbana,Não,Não,Não,Não,Não
FAM00141,Boqueirão,Urbana,Sim,Não,Sim,Não,Não
FAM00142,São Luís,Urbana,Não,Não,Sim,Não,Não
FAM00143,Iguaçu,Urbana,Sim,Não,Não,Não,Não
FAM00144,Zona Rural Norte,Rural,Sim,Não,Sim,Sim,Não
FAM00145,Thomaz Coelho,Urbana,Não,Não,Sim,Não,Não
FAM00146,Tindiquera,Urbana,Não,Não,Não,Não,Não
FAM00147,Passaúna,Urbana,Não,Não,Não,Não,Não
FAM00148,Dist. Industrial Norte,Industrial,Sim,Não,Não,Não,Não
FAM00149,Costeira,Urbana,Não,Não,Não,Não,Não
FAM00150,Iguaçu,Urbana,Sim,Não,Não,Não,Sim
FAM00151,Zona Rural Leste,Rural,Sim,Não,Não,Não,Não
FAM00152,Chapada,Urbana,Não,Não,Sim,Não,Não
FAM00153,Cachoeira,Urbana,Não,Não,Sim,Não,Não
FAM00154,Passaúna,Urbana,Sim,Sim,Sim,Não,Não
FAM00155,Campina da Barra,Urbana,Não,Sim,Sim,Não,Não
FAM00156,Tindiquera,Urbana,Não,Não,Não,Não,Não
FAM00157,Fazenda Velha,Urbana,Sim,Não,Não,Não,Não
FAM00158,Estação,Urbana,Não,Não,Sim,Não,Não
FAM00159,Tindiquera,Urbana,Não,Não,Sim,Não,Não
FAM00160,Tindiquera,Urbana,Não,Não,Não,Não,Não
FAM00161,Centro,Urbana,Não,Não,Sim,Não,Não
FAM00162,Chapada,Urbana,Não,Não,Não,Não,Não
FAM00163,Tindiquera,Urbana,Não,Não,Não,Não,Não
FAM00164,Zona Rural Sul,Rural,Não,Não,Não,Não,Não
FAM00165,Zona Rural Norte,Rural,Não,Não,Sim,Não,Não
FAM00166,Centro,Urbana,Não,Não,Não,Não,Não
FAM00167,Tindiquera,Urbana,Sim,Não,Sim,Não,Não
FAM00168,Carvalho,Urbana,Não,Não,Não,Não,Não
FAM00169,Tindiquera,Urbana,Não,Não,Não,Não,Não
FAM00170,Campina da Barra,Urbana,Não,Não,Sim,Não,Não
FAM00171,Zona Rural Sul,Rural,Sim,Não,Sim,Não,Não
FAM00172,São Luís,Urbana,Não,Não,Sim,Não,Não
FAM00173,Cachoeira,Urbana,Não,Não,Sim,Não,Não
FAM00174,Dist. Industrial Sul,Industrial,Não,Não,Sim,Não,Não
FAM00175,Dist. Industrial Sul,Industrial,Não,Não,Não,Sim,Não
FAM00176,Costeira,Urbana,Não,Não,Não,Não,Não
FAM00177,Campina da Barra,Urbana,Não,Não,Não,Não,Não
FAM00178,Cachoeira,Urbana,Sim,Não,Não,Sim,Não
FAM00179,Thomaz Coelho,Urbana,Não,Não,Não,Não,Não
FAM00180,Cachoeira,Urbana,Não,Não,Não,Não,Não
FAM00181,Dist. Industrial Norte,Industrial,Não,Não,Não,Não,Não
FAM00182,Carvalho,Urbana,Sim,Não,Sim,Não,Não
FAM00183,Zona Rural Leste,Rural,Não,Não,Não,Não,Não
FAM00184,Campina da Barra,Urbana,Não,Não,Não,Não,Não
FAM00185,Thomaz Coelho,Urbana,Não,Não,Sim,Não,Não
FAM00186,Fazenda Velha,Urbana,Sim,Não,Não,Não,Não
FAM00187,Zona Rural Norte,Rural,Sim,Não,Sim,Não,Não
FAM00188,Tindiquera,Urbana,Não,Não,Não,Não,Não
FAM00189,Costeira,Urbana,Não,Não,Não,Não,Não
FAM00190,Cachoeira,Urbana,Não,Não,Não,Não,Sim
FAM00191,Thomaz Coelho,Urbana,Não,Não,Não,Não,Não
FAM00192,Iguaçu,Urbana,Não,Não,Não,Não,Não
FAM00193,Tindiquera,Urbana,Sim,Não,Não,Não,Não
FAM00194,Zona Rural Sul,Rural,Sim,Não,Sim,Não,Não
FAM00195,Cachoeira,Urbana,Não,Sim,Não,Não,Não
FAM00196,Zona Rural Norte,Rural,Sim,Não,Sim,Não,Sim
FAM00197,São Luís,Urbana,Sim,Não,Não,Não,Não
FAM00198,Centro,Urbana,Sim,Não,Não,Não,Sim
FAM00199,Zona Rural Leste,Rural,Não,Não,Não,Não,Sim
FAM00200,Zona Rural Norte,Rural,Sim,Sim,Sim,Não,Não
FAM00201,Zona Rural Leste,Rural,Sim,Não,Não,Não,Não
FAM00202,Zona Rural Sul,Rural,Sim,Não,Não,Não,Não
FAM00203,Zona Rural Norte,Rural,Sim,Não,Sim,Não,Não
FAM00204,Costeira,Urbana,Não,Não,Não,Não,Não
FAM00205,Boqueirão,Urbana,Não,Não,Não,Não,Não
FAM00206,Tindiquera,Urbana,Sim,Não,Sim,Não,Sim
FAM00207,Thomaz Coelho,Urbana,Sim,Não,Não,Não,Não
FAM00208,Centro,Urbana,Sim,Não,Sim,Não,Não
FAM00209,Fazenda Velha,Urbana,Não,Não,Não,Não,Não
FAM00210,Zona Rural Leste,Rural,Sim,Não,Não,Sim,Não
FAM00211,Iguaçu,Urbana,Sim,Não,Sim,Sim,Não
FAM00212,Dist. Industrial Sul,Industrial,Não,Não,Não,Não,Não
FAM00213,Cachoeira,Urbana,Sim,Não,Não,Não,Não
FAM00214,Thomaz Coelho,Urbana,Não,Não,Sim,Não,Não
FAM00215,Zona Rural Leste,Rural,Sim,Não,Sim,Não,Não
FAM00216,Zona Rural Leste,Rural,Não,Não,Não,Não,Não
FAM00217,São Luís,Urbana,Não,Não,Sim,Não,Não
FAM00218,Dist. Industrial Norte,Industrial,Não,Sim,Não,Sim,Sim
FAM00219,Costeira,Urbana,Sim,Não,Sim,Sim,Não
FAM00220,Iguaçu,Urbana,Sim,Não,Sim,Não,Não
FAM00221,Zona Rural Leste,Rural,Não,Não,Não,Não,Não
FAM00222,São Luís,Urbana,Sim,Não,Sim,Não,Sim
FAM00223,Passaúna,Urbana,Sim,Não,Não,Não,Não
FAM00224,Dist. Industrial Norte,Industrial,Não,Não,Sim,Não,Não
FAM00225,Centro,Urbana,Não,Não,Sim,Não,Não
FAM00226,Estação,Urbana,Não,Não,Sim,Não,Não
FAM00227,Boqueirão,Urbana,Não,Não,Não,Não,Não
FAM00228,Zona Rural Norte,Rural,Não,Não,Não,Não,Não
FAM00229,Costeira,Urbana,Sim,Não,Sim,Sim,Não
FAM00230,Zona Rural Leste,Rural,Sim,Não,Sim,Não,Não
FAM00231,Centro,Urbana,Não,Não,Sim,Não,Não
FAM00232,Costeira,Urbana,Não,Não,Não,Sim,Sim
FAM00233,Estação,Urbana,Sim,Não,Não,Não,Sim
FAM00234,Carvalho,Urbana,Não,Sim,Não,Não,Não
FAM00235,Tindiquera,Urbana,Não,Não,Não,Não,Não
FAM00236,Campina da Barra,Urbana,Não,Não,Não,Sim,Não
FAM00237,Zona Rural Sul,Rural,Sim,Não,Sim,Não,Não
FAM00238,Tindiquera,Urbana,Não,Não,Não,Não,Não
FAM00239,Estação,Urbana,Não,Não,Sim,Não,Não
FAM00240,Chapada,Urbana,Não,Não,Sim,Não,Não
FAM00241,Thomaz Coelho,Urbana,Não,Sim,Não,Não,Não
FAM00242,Estação,Urbana,Sim,Não,Sim,Não,Não
FAM00243,Passaúna,Urbana,Não,Não,Não,Não,Não
FAM00244,Zona Rural Sul,Rural,Sim,Não,Não,Não,Não
FAM00245,Costeira,Urbana,Não,Não,Não,Não,Não
FAM00246,Dist. Industrial Norte,Industrial,Sim,Não,Sim,Sim,Não
FAM00247,Tindiquera,Urbana,Sim,Não,Sim,Não,Não
FAM00248,Thomaz Coelho,Urbana,Não,Não,Não,Não,Não
FAM00249,Carvalho,Urbana,Não,Não,Não,Não,Não
FAM00250,Iguaçu,Urbana,Sim,Não,Não,Sim,Sim
FAM00251,Iguaçu,Urbana,Não,Sim,Não,Não,Não
FAM00252,Dist. Industrial Norte,Industrial,Não,Sim,Não,Sim,Não
FAM00253,Centro,Urbana,Não,Não,Não,Não,Não
FAM00254,Cachoeira,Urbana,Não,Não,Não,Não,Não
FAM00255,Zona Rural Leste,Rural,Não,Não,Sim,Sim,Não
FAM00256,Zona Rural Leste,Rural,Não,Não,Sim,Não,Não
FAM00257,Centro,Urbana,Não,Não,Não,Não,Não
FAM00258,Tindiquera,Urbana,Sim,Sim,Não,Sim,Não
FAM00259,Iguaçu,Urbana,Sim,Não,Sim,Sim,Não
FAM00260,Zona Rural Sul,Rural,Sim,Não,Não,Não,Não
FAM00261,Zona Rural Norte,Rural,Não,Não,Não,Não,Sim
FAM00262,Zona Rural Norte,Rural,Sim,Não,Não,Não,Não
FAM00263,Fazenda Velha,Urbana,Sim,Não,Não,Não,Não
FAM00264,Costeira,Urbana,Sim,Não,Sim,Não,Não
FAM00265,Zona Rural Norte,Rural,Não,Não,Não,Não,Não
FAM00266,Dist. Industrial Norte,Industrial,Não,Não,Não,Não,Não
FAM00267,Estação,Urbana,Não,Não,Não,Sim,Não
FAM00268,Zona Rural Leste,Rural,Sim,Não,Sim,Não,Não
FAM00269,Chapada,Urbana,Sim,Não,Sim,Não,Não
FAM00270,Centro,Urbana,Não,Não,Não,Não,Não
FAM00271,Dist. Industrial Sul,Industrial,Não,Não,Não,Não,Não
FAM00272,Iguaçu,Urbana,Sim,Não,Não,Não,Não
FAM00273,Carvalho,Urbana,Não,Não,Não,Não,Não
FAM00274,Zona Rural Sul,Rural,Sim,Não,Não,Não,Não
FAM00275,Campina da Barra,Urbana,Sim,Não,Sim,Não,Não
FAM00276,Campina da Barra,Urbana,Sim,Não,Não,Sim,Não
FAM00277,Campina da Barra,Urbana,Sim,Não,Sim,Sim,Não
FAM00278,São Luís,Urbana,Sim,Não,Sim,Não,Não
FAM00279,Iguaçu,Urbana,Sim,Não,Sim,Não,Não
FAM00280,Estação,Urbana,Sim,Não,Sim,Não,Não
FAM00281,Dist. Industrial Norte,Industrial,Sim,Não,Não,Não,Não
FAM00282,Costeira,Urbana,Não,Não,Sim,Não,Não
FAM00283,Chapada,Urbana,Não,Não,Não,Não,Não
FAM00284,Iguaçu,Urbana,Sim,Não,Não,Sim,Não
FAM00285,Boqueirão,Urbana,Não,Não,Não,Não,Não
FAM00286,Zona Rural Sul,Rural,Sim,Sim,Não,Não,Não
FAM00287,Zona Rural Norte,Rural,Sim,Não,Sim,Não,Não
FAM00288,Campina da Barra,Urbana,Não,Não,Sim,Não,Não
FAM00289,Thomaz Coelho,Urbana,Não,Não,Sim,Não,Não
FAM00290,Iguaçu,Urbana,Não,Não,Não,Sim,Não
FAM00291,Centro,Urbana,Não,Não,Sim,Não,Não
FAM00292,Dist. Industrial Sul,Industrial,Não,Não,Não,Não,Não
FAM00293,Chapada,Urbana,Não,Não,Não,Não,Sim
FAM00294,Tindiquera,Urbana,Não,Não,Não,Não,Não
FAM00295,Dist. Industrial Norte,Industrial,Não,Não,Não,Não,Não
FAM00296,São Luís,Urbana,Não,Não,Sim,Não,Não
FAM00297,Cachoeira,Urbana,Sim,Não,Não,Não,Não
FAM00298,Centro,Urbana,Sim,Não,Não,Não,Não
FAM00299,Centro,Urbana,Não,Não,Não,Não,Sim
FAM00300,Zona Rural Sul,Rural,Sim,Não,Não,Não,Não
FAM00301,Zona Rural Sul,Rural,Sim,Não,Sim,Sim,Não
FAM00302,São Luís,Urbana,Não,Não,Não,Não,Sim
FAM00303,Zona Rural Norte,Rural,Sim,Não,Não,Não,Não
FAM00304,Estação,Urbana,Não,Não,Sim,Não,Não
FAM00305,Costeira,Urbana,Não,Não,Sim,Não,Não
FAM00306,Campina da Barra,Urbana,Não,Sim,Não,Não,Não
FAM00307,Iguaçu,Urbana,Sim,Não,Não,Sim,Não
FAM00308,Zona Rural Sul,Rural,Não,Não,Não,Não,Não
FAM00309,Dist. Industrial Sul,Industrial,Não,Não,Não,Não,Não
FAM00310,Zona Rural Norte,Rural,Não,Não,Sim,Não,Não
FAM00311,Zona Rural Sul,Rural,Não,Não,Sim,Não,Não
FAM00312,Tindiquera,Urbana,Não,Não,Não,Não,Não
FAM00313,Tindiquera,Urbana,Sim,Não,Sim,Não,Não
FAM00314,Campina da Barra,Urbana,Não,Não,Não,Não,Não
FAM00315,Dist. Industrial Sul,Industrial,Sim,Não,Sim,Não,Não
FAM00316,Zona Rural Sul,Rural,Não,Não,Não,Sim,Não
FAM00317,Thomaz Coelho,Urbana,Sim,Sim,Não,Não,Sim
FAM00318,Chapada,Urbana,Sim,Não,Sim,Não,Não
FAM00319,Costeira,Urbana,Não,Não,Não,Não,Não
FAM00320,Zona Rural Sul,Rural,Sim,Sim,Sim,Não,Não
FAM00321,Zona Rural Norte,Rural,Não,Não,Não,Não,Não
FAM00322,Zona Rural Leste,Rural,Sim,Não,Sim,Sim,Não
FAM00323,Dist. Industrial Sul,Industrial,Não,Sim,Não,Não,Não
FAM00324,Zona Rural Norte,Rural,Sim,Não,Sim,Não,Não
FAM00325,Centro,Urbana,Não,Não,Sim,Não,Não
FAM00326,Dist. Industrial Norte,Industrial,Não,Não,Não,Não,Não
FAM00327,Fazenda Velha,Urbana,Sim,Não,Sim,Não,Não
FAM00328,Zona Rural Sul,Rural,Sim,Não,Sim,Sim,Não
FAM00329,Dist. Industrial Sul,Industrial,Não,Não,Sim,Não,Não
FAM00330,Zona Rural Norte,Rural,Sim,Não,Não,Não,Não
FAM00331,Dist. Industrial Sul,Industrial,Não,Não,Não,Não,Não
FAM00332,Iguaçu,Urbana,Não,Não,Não,Sim,Não
FAM00333,Dist. Industrial Sul,Industrial,Sim,Não,Não,Não,Não
FAM00334,Campina da Barra,Urbana,Sim,Não,Sim,Não,Não
FAM00335,Zona Rural Norte,Rural,Não,Não,Não,Não,Não
FAM00336,Zona Rural Norte,Rural,Não,Não,Não,Não,Não
FAM00337,Tindiquera,Urbana,Não,Não,Não,Não,Não
FAM00338,Dist. Industrial Sul,Industrial,Não,Não,Sim,Não,Não
FAM00339,Cachoeira,Urbana,Não,Não,Não,Não,Não
FAM00340,Iguaçu,Urbana,Não,Não,Não,Não,Não
FAM00341,Dist. Industrial Sul,Industrial,Sim,Não,Sim,Não,Não
FAM00342,Tindiquera,Urbana,Não,Não,Não,Não,Não
FAM00343,Centro,Urbana,Sim,Não,Não,Não,Não
FAM00344,Costeira,Urbana,Não,Não,Não,Não,Não
FAM00345,Fazenda Velha,Urbana,Sim,Não,Sim,Não,Não
FAM00346,Zona Rural Norte,Rural,Sim,Não,Sim,Não,Não
FAM00347,Zona Rural Leste,Rural,Não,Não,Não,Não,Não
FAM00348,Iguaçu,Urbana,Não,Não,Sim,Não,Sim
FAM00349,Chapada,Urbana,Sim,Sim,Não,Não,Não
FAM00350,Thomaz Coelho,Urbana,Sim,Não,Não,Não,Não
FAM00351,Zona Rural Leste,Rural,Sim,Sim,Sim,Não,Não
FAM00352,Passaúna,Urbana,Não,Não,Não,Não,Não
FAM00353,Zona Rural Sul,Rural,Não,Não,Não,Não,Não
FAM00354,Campina da Barra,Urbana,Não,Não,Não,Não,Sim
FAM00355,Zona Rural Leste,Rural,Não,Não,Não,Não,Não
FAM00356,Costeira,Urbana,Não,Não,Não,Não,Não
FAM00357,Zona Rural Leste,Rural,Não,Não,Não,Não,Não
FAM00358,Iguaçu,Urbana,Sim,Não,Não,Não,Não
FAM00359,Campina da Barra,Urbana,Sim,Sim,Sim,Não,Não
FAM00360,Cachoeira,Urbana,Sim,Não,Não,Não,Não
FAM00361,Dist. Industrial Norte,Industrial,Sim,Não,Não,Não,Não
FAM00362,Iguaçu,Urbana,Sim,Não,Não,Não,Não
FAM00363,Estação,Urbana,Não,Sim,Sim,Não,Não
FAM00364,Passaúna,Urbana,Não,Não,Sim,Não,Não
FAM00365,Thomaz Coelho,Urbana,Não,Não,Sim,Não,Não
FAM00366,São Luís,Urbana,Sim,Não,Sim,Não,Não
FAM00367,Tindiquera,Urbana,Não,Não,Sim,Não,Sim
FAM00368,Dist. Industrial Norte,Industrial,Não,Não,Não,Não,Não
FAM00369,Centro,Urbana,Não,Não,Sim,Não,Sim
FAM00370,Zona Rural Sul,Rural,Não,Sim,Sim,Não,Não
FAM00371,Passaúna,Urbana,Não,Não,Não,Não,Não
FAM00372,Dist. Industrial Norte,Industrial,Não,Não,Sim,Não,Não
FAM00373,Dist. Industrial Norte,Industrial,Não,Não,Sim,Não,Não
FAM00374,Carvalho,Urbana,Sim,Não,Sim,Não,Não
FAM00375,Fazenda Velha,Urbana,Não,Não,Sim,Não,Não
FAM00376,Centro,Urbana,Não,Não,Não,Não,Não
FAM00377,Carvalho,Urbana,Não,Não,Não,Não,Não
FAM00378,Fazenda Velha,Urbana,Sim,Sim,Não,Sim,Não
FAM00379,Iguaçu,Urbana,Não,Não,Não,Não,Não
FAM00380,Zona Rural Norte,Rural,Sim,Não,Não,Não,Não
FAM00381,Dist. Industrial Norte,Industrial,Não,Não,Não,Não,Não
FAM00382,Iguaçu,Urbana,Não,Não,Sim,Não,Não
FAM00383,Iguaçu,Urbana,Não,Não,Não,Não,Não
FAM00384,Thomaz Coelho,Urbana,Não,Não,Sim,Sim,Não
FAM00385,Thomaz Coelho,Urbana,Não,Não,Não,Não,Não
FAM00386,Iguaçu,Urbana,Sim,Não,Não,Não,Não
FAM00387,Campina da Barra,Urbana,Não,Não,Não,Não,Não
FAM00388,Thomaz Coelho,Urbana,Não,Não,Não,Sim,Não
FAM00389,Zona Rural Sul,Rural,Sim,Não,Sim,Não,Não
FAM00390,Carvalho,Urbana,Não,Não,Não,Não,Não
FAM00391,Zona Rural Sul,Rural,Não,Não,Não,Não,Não
FAM00392,Estação,Urbana,Sim,Não,Não,Não,Não
FAM00393,Iguaçu,Urbana,Não,Não,Sim,Não,Não
FAM00394,São Luís,Urbana,Não,Não,Não,Não,Não
FAM00395,Centro,Urbana,Sim,Não,Sim,Não,Não
FAM00396,Iguaçu,Urbana,Sim,Não,Não,Não,Não
FAM00397,Cachoeira,Urbana,Sim,Não,Sim,Não,Não
FAM00398,São Luís,Urbana,Não,Não,Não,Não,Não
FAM00399,Carvalho,Urbana,Sim,Não,Não,Não,Não
FAM00400,Cachoeira,Urbana,Não,Sim,Não,Não,Não
FAM00401,Cachoeira,Urbana,Não,Não,Sim,Não,Não
